gene	norm1	norm2	norm3	norm4	norm5	norm6
10129	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
79295	0.0	0.0	0.0	0.0	0.0	0.0
148223	0.0	0.0	0.0	0.0	0.0	0.0
10589	0.0	0.0	0.0	0.0	0.0	0.0
22836	0.050547286663736785	0.11152044233595451	0.0	0.0	0.0	0.017303364735964978
1355	0.0	0.0	0.0	0.0	0.0	0.017303364735964978
960	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
100271148	0.06340642377742223	0.0	0.0	0.0	0.0	0.0
132	0.0	0.0	0.0	0.0	0.0	0.05798346369741207
55666	0.0	0.0	0.0	0.0	0.0	0.0
23163	0.0	0.0	0.0	0.0	0.0	0.0
22938	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
100289333	0.0	0.0	0.0	0.0	0.0	0.0
5641	0.0	0.0	0.0	0.0	0.0	0.0
340745	0.0	0.20981568819155721	0.0	0.0	0.0	0.0
23548	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
90273	0.0	0.0	0.0	0.0	0.0	0.0
339488	0.0	0.0	0.0	0.0	0.0	0.0
3112	0.0	0.0	0.0	0.0	0.0	0.0
63982	0.0	0.0	0.0	0.0	0.0	0.0
6942	0.0	0.0	0.0	0.0	0.0	0.0
126432	0.0	0.0	0.0	0.0	0.0	0.0
55084	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
6263	0.0	0.0	0.0	0.0	0.0	0.0
64221	0.0	0.0	0.0	0.0	0.0	0.0
6700	0.0	0.0	0.0	0.0	0.0	0.0
399829	0.0	0.0	0.0	0.0	0.0	0.0
100131733	0.0	0.0	0.0	0.0	0.0	0.0
1180	0.0	0.0	0.0	0.0	0.0	0.0
245939	0.0	0.0	0.0	0.0	0.0	0.0
100272216	0.0	0.1461858411609449	0.0	0.0	0.0	0.0
65083	0.0	0.0	0.0	0.0	0.0	0.0
144106	0.0	0.20981568819155721	0.0	0.0	0.0	0.0
10632	0.0	0.0	0.0	0.0	0.0	0.0
8718	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
256236	0.0	0.0	0.0	0.0	0.0	0.0
100132178	0.0	0.0	0.0	0.0	0.0	0.0
553103	0.0	0.0	0.0	0.0	0.0	0.0
338870	0.0	0.0	0.0	0.0	0.0	0.05798346369741207
54718	0.0	0.0	0.0	0.0	0.0	0.0
1802	0.0	0.0	0.0	0.0	0.0	0.0
23481	0.0	0.1461858411609449	0.0	0.0	0.0	0.0
100289090	0.0	0.0	0.0	0.0	0.0	0.0
5502	0.0	0.0	0.0	0.0	0.0	0.0
5829	0.0	0.20981568819155721	0.0	0.0	0.0	0.0
100134348	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
91419	0.0	0.0	0.0	0.0	0.0	0.0
55709	0.0	0.0	0.0	0.0	0.0	0.0
2118	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
57026	0.0	0.0	0.0	0.0	0.0	0.0
26771	0.0	0.0	0.0	0.0	0.0	0.05798346369741207
2901	0.0	0.0	0.0	0.0	0.0	0.0
283596	0.0	0.0	0.0	0.0	0.0	0.0
3422	0.0	0.0	0.0	0.0	0.0	0.05798346369741207
651337	0.050547286663736785	0.11152044233595451	0.0	0.0	0.0	0.017303364735964978
100188891	0.050547286663736785	0.11152044233595451	0.0	0.0	0.0	0.017303364735964978
5970	0.0	0.20981568819155721	0.0	0.0	0.0	0.0
94162	0.0	0.0721264373519381	0.0	0.0	0.13494539084130117	0.029454923266877354
23015	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
57470	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
282980	0.0	0.0	0.0	0.0	0.0	0.0
391081	0.0	0.0	0.0	0.0	0.0	0.0
286191	0.0	0.11152044233595451	0.0	0.0	0.0	0.0
60673	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
23341	0.0	0.0	0.0	0.0	0.0	0.0
26680	0.0	0.1461858411609449	0.0	0.0	0.0	0.0
442060	0.0	0.0	0.0	0.0	0.0	0.028956763944213808
29058	0.0	0.0	0.0	0.0	0.0	0.05798346369741207
